"STUDY_ID","REVIEWERS","INCLUDE","authors","title","journal","type","year","volume","issue","page_start","page_end","doi","category"
14,"Sub13","not vetted","Chang, HI; Chang, YT; Tsai, SJ; Huang, CW; Hsu, SW; Liu, ME; Chang, WN; Lien, CY; Huang, SH; Lee, CC; Chang, CC","MAOA-VNTR Genotype Effects on Ventral Striatum-Hippocampus Network in Alzheimer's Disease: Analysis Using Structural Covariance Network and Correlation with Neurobehavior Performance","MOLECULAR NEUROBIOLOGY","Article",2019,"56","6","4518","4529","10.1007/s12035-018-1394-0","Neurosciences"
21,"Sub13","not vetted","Bodnar, T; Mazur, S; Parolya, N","Central limit theorems for functionals of large sample covariance matrix and mean vector in matrix-variate location mixture of normal distributions","SCANDINAVIAN JOURNAL OF STATISTICS","Article",2019,"46","2","636","660","10.1111/sjos.12383","Statistics & Probability"
59,"Sub13","not vetted","Bakhtiari, M; Formenti, L; Caggia, V; Glauser, G; Rasmann, S","Variable effects on growth and defense traits for plant ecotypic differentiation and phenotypic plasticity along elevation gradients","ECOLOGY AND EVOLUTION","Article",2019,"9","7","3740","3755","10.1002/ece3.4999","Ecology; Evolutionary Biology"
70,"Sub13","not vetted","He, K; Kang, J; Hong, HG; Zhu, J; Li, YM; Lin, HZ; Xu, H; Li, Y","Covariance-insured screening","COMPUTATIONAL STATISTICS & DATA ANALYSIS","Article",2019,"132","","100","114","10.1016/j.csda.2018.09.001","Computer Science, Interdisciplinary Applications; Statistics & Probability"
86,"Sub13","not vetted","Yan, D; Scott, RL; Moore, DJP; Biederman, JA; Smith, WK","Understanding the relationship between vegetation greenness and productivity across dryland ecosystems through the integration of PhenoCam, satellite, and eddy covariance data","REMOTE SENSING OF ENVIRONMENT","Article",2019,"223","","50","62","10.1016/j.rse.2018.12.029","Environmental Sciences; Remote Sensing; Imaging Science & Photographic Technology"
87,"Sub13","not vetted","Dumortier, P; Aubinet, M; Lebeau, F; Naiken, A; Heinesch, B","Point source emission estimation using eddy covariance: Validation using an artificial source experiment","AGRICULTURAL AND FOREST METEOROLOGY","Article",2019,"266","","148","156","10.1016/j.agrformet.2018.12.012","Agronomy; Forestry; Meteorology & Atmospheric Sciences"
129,"Sub13","not vetted","Rafi, Z; Merlin, O; Le Dantec, V; Khabba, S; Mordelet, P; Er-Raki, S; Amazirh, A; Olivera-Guerra, L; Hssaine, BA; Simonneaux, V; Ezzahar, J; Ferrer, F","Partitioning evapotranspiration of a drip-irrigated wheat crop: Inter-comparing eddy covariance-, sap flow-, lysimeter- and FAO-based methods","AGRICULTURAL AND FOREST METEOROLOGY","Article",2019,"265","","310","326","10.1016/j.agrformet.2018.11.031","Agronomy; Forestry; Meteorology & Atmospheric Sciences"
150,"Sub13","not vetted","Runkle, BRK; Suvoscarev, K; Reba, ML; Reavis, CW; Smith, SF; Chiu, YL; Fong, B","Methane Emission Reductions from the Alternate Wetting and Drying of Rice Fields Detected Using the Eddy Covariance Method","ENVIRONMENTAL SCIENCE & TECHNOLOGY","Article",2019,"53","2","671","681","10.1021/acs.est.8b05535","Engineering, Environmental; Environmental Sciences"
160,"Sub13","not vetted","Zhang, QY; Hu, J; Bai, ZD","Invariant test based on the modified correction to LRT for the equality of two high-dimensional covariance matrices","ELECTRONIC JOURNAL OF STATISTICS","Article",2019,"13","1","850","881","10.1214/19-EJS1542","Statistics & Probability"
162,"Sub13","not vetted","Xiao, HS; Chen, RY; Cheng, TL; Fang, WT; Hsu, CH; Chou, JY","Phenotypic Plasticity in Aureobasidium pullulans Isolates","INTERNATIONAL JOURNAL OF AGRICULTURE AND BIOLOGY","Article",2019,"22","1","167","177","10.17957/IJAB/15.1047","Agriculture, Multidisciplinary; Biology"
191,"Sub13","not vetted","Hoque, ME; Torabi, M","Modeling the random effects covariance matrix for longitudinal data with covariates measurement error","STATISTICS IN MEDICINE","Article",2018,"37","28","4167","4184","10.1002/sim.7908","Mathematical & Computational Biology; Public, Environmental & Occupational Health; Medical Informatics; Medicine, Research & Experimental; Statistics & Probability"
200,"Sub13","not vetted","Rugiu, L; Manninen, I; Rothausler, E; Jormalainen, V","Tolerance to climate change of the clonally reproducing endemic Baltic seaweed, Fucus radicans: is phenotypic plasticity enough?","JOURNAL OF PHYCOLOGY","Article",2018,"54","6","888","898","10.1111/jpy.12796","Plant Sciences; Marine & Freshwater Biology"
237,"Sub13","not vetted","Ledoit, O; Wolf, M","Optimal estimation of a large-dimensional covariance matrix under Stein's loss","BERNOULLI","Article",2018,"24","4B","3791","3832","10.3150/17-BEJ979","Statistics & Probability"
