,question,rank,counts,question_edit
1, (i.e. if we lack good predictions of ocean climate how can we experiment under future conditions if we don’t know what those are,2,22,NA
2, (i.e. if we lack good predictions of ocean climate how can we experiment under future conditions if we don’t know what those are,3,11,NA
3, (i.e. if we lack good predictions of ocean climate how can we experiment under future conditions if we don’t know what those are,4,2,NA
4,At spatial scales below the dispersal distance how do spatial patterns of selective gradients create patterns of local adaptation (microgeographic adaptation),1,4,microgeographic adaptation
5,At spatial scales below the dispersal distance how do spatial patterns of selective gradients create patterns of local adaptation (microgeographic adaptation),2,1,microgeographic adaptation
6,At spatial scales below the dispersal distance how do spatial patterns of selective gradients create patterns of local adaptation (microgeographic adaptation),3,3,microgeographic adaptation
7,Can epigenetic or plastic responses to environmental stress be inherited and alter evolutionary processes,1,2,epigenetics
8,Can epigenetic or plastic responses to environmental stress be inherited and alter evolutionary processes,3,1,epigenetics
9,Do species with large effective population size have unexpected outcomes for population genetic processes,1,3,effective population size
10,Do species with large effective population size have unexpected outcomes for population genetic processes,2,1,effective population size
11,Do species with large effective population size have unexpected outcomes for population genetic processes,4,1,effective population size
12,For restoration and assisted evolution efforts can we use genomics to predict fitness of genotypes in particular environments (with limited knowledge of the underlying genetic architecture),1,24,restoration genomics
13,For restoration and assisted evolution efforts can we use genomics to predict fitness of genotypes in particular environments (with limited knowledge of the underlying genetic architecture),2,12,restoration genomics
14,For restoration and assisted evolution efforts can we use genomics to predict fitness of genotypes in particular environments (with limited knowledge of the underlying genetic architecture),3,14,restoration genomics
15,For restoration and assisted evolution efforts can we use genomics to predict fitness of genotypes in particular environments (with limited knowledge of the underlying genetic architecture),4,4,restoration genomics
16,How and which dispersal traits are evolving in response to environmental change,1,6,dispersal evolution
17,How and which dispersal traits are evolving in response to environmental change,2,7,dispersal evolution
18,How and which dispersal traits are evolving in response to environmental change,3,4,dispersal evolution
19,How and which dispersal traits are evolving in response to environmental change,4,2,dispersal evolution
20,How can an understanding of adaptation to multiple stressors be used to predict responses to multivariate environmental change or novel environments,1,10,multiple stressors
