STUDY_ID,First_Author,Data_file_name,G_match_E,natural_env_type,GxE_sig,phylum_division,genus,species,gen_number,gen_number_knownenvs,phenotype,phenotype_unit,life_stage,exp_env_type,experimental_comparison,Experimental_environment,experimental_env_unit,natural_env,natural_env_unit,Study_ID_phenotype,Raw_data_available,Proportion,Mention CGV,Data_source,figure_Number,table_Number,Comments,Checked?
13,MartinSanz,13_MartinSanz_stem_sapwood_diameter_basal,G_match_E_DataShown,continuous,FALSE,Coniferophyta,Pinus,halepensis,19,19,stem_sapwood_diameter_basal,mm,ADULT,continuous,drier vs moister,Annual rainfall,mm,Annual rainfall,mm,13_stem_sapwood_diameter_basal,no,,,,,,,
13,MartinSanz,13_MartinSanz_stem_sapwood_diameter_breast_height,G_match_E_DataShown,continuous,FALSE,Coniferophyta,Pinus,halepensis,19,19,stem_sapwood_diameter_breast_height,mm,ADULT,continuous,drier vs moister,Annual rainfall,mm,Annual rainfall,mm,13_stem_sapwood_diameter_breast_height,no,,,,,,,
13,MartinSanz,13_MartinSanz_bark_thickness_basal,G_match_E_DataShown,continuous,FALSE,Coniferophyta,Pinus,halepensis,19,19,bark_thickness_basal,mm,ADULT,continuous,drier vs moister,Annual rainfall,mm,Annual rainfall,mm,13_bark_thickness_basal,mean_CI,no,no,Table,,S7 in studyID_013_supplement (pdf file),,
13,MartinSanz,13_MartinSanz_bark_thickness_breast_height,G_match_E_DataShown,continuous,FALSE,Coniferophyta,Pinus,halepensis,19,19,bark_thickness_breast_height,mm,ADULT,continuous,drier vs moister,Annual rainfall,mm,Annual rainfall,mm,13_bark_thickness_breast_height,mean_CI,no,no,Table,,S7 in studyID_013_supplement (pdf file),,
13,MartinSanz,13_MartinSanz_height,G_match_E_DataShown,continuous,FALSE,Coniferophyta,Pinus,halepensis,19,19,height,cm,ADULT,continuous,drier vs moister,Annual rainfall,mm,Annual rainfall,mm,13_height,no,,,,,,,
13,MartinSanz,13_MartinSanz_bark_volume,G_match_E_DataShown,continuous,FALSE,Coniferophyta,Pinus,halepensis,19,19,bark_volume,proportion,ADULT,continuous,drier vs moister,Annual rainfall,mm,Annual rainfall,mm,13_bark_volume,no,,,,,,,
59,Faske,59_Faske_female pupal mass,G_match_E_DataShown,categorical,FALSE,Arthropoda,Lymantria,dispar,3,0,female pupal mass,g,JUVENILE,continuous,cooler vs warmer,Temperature,C,Temperature,C,59_female pupal mass,mean_SE,no,no,Table,,S4 in StudyID_059_10530_2018_1907_MOESM1_ESM (word file),"59_this study is evaluating the effect of temperature. Rather than focus on absolute temp (oC), they look at the number of hours that the animals in the native and experimental sites were exposed to supraoptimal temperatures - so unit COULD be in ""h"" and not in ""oC"". Absolute temp (oC) data are available for the experimental environment only (not the native). Hours of exposure (h) are available for exp and native sites. In a meeting with Katie, we decided that for this study, we will assume that temp for exp sites are close enough to temp in the native sites (check fig 1 - a map - in the paper). We are then calling it categorical for the native env (warmer vs cooler).",
59,Faske,59_Faske_female larval develop time,G_match_E_DataShown,categorical,FALSE,Arthropoda,Lymantria,dispar,3,0,female larval develop time,d,LARVAL,continuous,cooler vs warmer,Temperature,C,Temperature,C,59_female larval develop time,mean_SE,no,no,Table,,S4 in StudyID_059_10530_2018_1907_MOESM1_ESM (word file),"59_update: G without native_env data will be deleted from the datacollection table (G_3 from NY is listed here under Gen_number = 3, and listed in gens_to_native sheet).",
59,Faske,59_Faske_female pupal develop time,G_match_E_DataShown,categorical,FALSE,Arthropoda,Lymantria,dispar,3,0,female pupal develop time,d,JUVENILE,continuous,cooler vs warmer,Temperature,C,Temperature,C,59_female pupal develop time,mean_SE,no,no,Table,,S4 in StudyID_059_10530_2018_1907_MOESM1_ESM (word file),,
59,Faske,59_Faske_male pupal mass,G_match_E_DataShown,categorical,FALSE,Arthropoda,Lymantria,dispar,3,0,male pupal mass,g,JUVENILE,continuous,cooler vs warmer,Temperature,C,Temperature,C,59_male pupal mass,mean_SE,no,no,Table,,S4 in StudyID_059_10530_2018_1907_MOESM1_ESM (word file),,
59,Faske,59_Faske_male larval develop time,G_match_E_DataShown,categorical,FALSE,Arthropoda,Lymantria,dispar,3,0,male larval develop time,d,LARVAL,continuous,cooler vs warmer,Temperature,C,Temperature,C,59_male larval develop time,mean_SE,no,no,Table,,S4 in StudyID_059_10530_2018_1907_MOESM1_ESM (word file),,
59,Faske,59_Faske_male pupal develop time,G_match_E_DataShown,categorical,FALSE,Arthropoda,Lymantria,dispar,3,0,male pupal develop time,d,JUVENILE,continuous,cooler vs warmer,Temperature,C,Temperature,C,59_male pupal develop time,mean_SE,no,no,Table,,S4 in StudyID_059_10530_2018_1907_MOESM1_ESM (word file),,
59,Faske,59_Faske_survival,G_match_E_DataShown,categorical,NA,Arthropoda,Lymantria,dispar,3,0,survival,proportion,ADULT,continuous,cooler vs warmer,Temperature,C,Temperature,C,59_survival,no,,,,,,,
59,Faske,59_Faske_total number of eggs,G_match_E_DataShown,categorical,NA,Arthropoda,Lymantria,dispar,3,0,total number of eggs,count,SEEDorEGG,continuous,cooler vs warmer,Temperature,C,Temperature,C,59_total number of eggs,mean_SE,no,no,Figure,4a extracted with graphgrabber into StudyID_59_Fig4a graphgrabber (excel file),,,
