Study_ID_phenotype,First_Author,gen_factor,Native_env_cont,Native_env_cat,nat_env_mean,nat_env_sd,nat_env_factor,exp_env_cont,exp_env_cat,exp_env_factor,phen_n,phen_data,phen_prop,phen,phen_SD,phen_mean_SE,phen_mean_lowCI_095,phen_mean_highCI_095,Comments
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,high food,E_1,15,12,,12,,,,,to match :high predation = high food; low predation = low food
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,high food,E_1,15,12,,12,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,high food,E_1,15,4,,4,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,high food,E_1,15,3,,3,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,high food,E_1,15,7,,7,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,high food,E_1,15,8,,8,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,high food,E_1,15,12,,12,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,high food,E_1,15,9,,9,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,high food,E_1,15,7,,7,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,high food,E_1,15,5,,5,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,high food,E_1,15,9,,9,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,high food,E_1,15,8,,8,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,high food,E_1,15,12,,12,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,high food,E_1,15,13,,13,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,high food,E_1,15,9,,9,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,low food,E_2,12,5,,5,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,low food,E_2,12,8,,8,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,low food,E_2,12,5,,5,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,low food,E_2,12,9,,9,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,low food,E_2,12,4,,4,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,low food,E_2,12,3,,3,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,low food,E_2,12,3,,3,,,,,
654_first_litter_size,Gordon,G_1,,high food,,,Damier River high predation,,low food,E_2,12,3,,3,,,,,
