Study_ID_phenotype,First_Author,gen_factor,Native_env_cont,Native_env_cat,nat_env_mean,nat_env_sd,nat_env_factor,exp_env_cont,exp_env_cat,exp_env_factor,phen_n,phen_data,phen_SD,phen_mean_SE,phen_mean_lowCI_095,phen_mean_highCI_095,Comments
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.7,,,,,743_I calcuated proportional offspring germination from raw data
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,1,,,,,"743_note that G1-G4 are for one species and G5-G7 are for another, same phenotype was measured"
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.55,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.75,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.8,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.8,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.5,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.1,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.2,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.7,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.4,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.05,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.1,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.642857143,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.785714286,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.75,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.85,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,1,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,1,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.95,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.9,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.6,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,857.25,,E_1,24,0.65,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.85,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.8,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.85,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.95,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.8,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.8,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.85,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.8,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,1,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.95,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.7,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.8,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.6,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.7,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.95,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.65,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.35,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.1,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.05,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.35,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.15,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,1,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.8,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.85,,,,,
743_Bis_offspring_germination,Lampei,G_1,,,789,22,,471.94,,E_2,31,0.125,,,,,
