"","data_type","gen_factor","exp_env_factor","nat_env_factor","phen_data"
"1","raw","G_7","E_1","E_1",46
"2","raw","G_7","E_1","E_1",49
"3","raw","G_7","E_1","E_1",50
"4","raw","G_7","E_1","E_1",51
"5","raw","G_7","E_1","E_1",48
"6","raw","G_7","E_1","E_1",49
"7","raw","G_7","E_1","E_1",48
"8","raw","G_7","E_1","E_1",48
"9","raw","G_7","E_2","E_1",49
"10","raw","G_7","E_2","E_1",63
"11","raw","G_7","E_1","E_1",50
"12","raw","G_7","E_1","E_1",51
"13","raw","G_7","E_1","E_1",45
"14","raw","G_7","E_1","E_1",49
"15","raw","G_7","E_1","E_1",46
"16","raw","G_7","E_1","E_1",51
"17","raw","G_7","E_1","E_1",48
"18","raw","G_7","E_1","E_1",47
"19","raw","G_7","E_2","E_1",48
"20","raw","G_7","E_2","E_1",55
"21","raw","G_7","E_2","E_1",58
"22","raw","G_7","E_2","E_1",52
"23","raw","G_6","E_1","E_1",45
"24","raw","G_6","E_1","E_1",43
"25","raw","G_6","E_1","E_1",42
"26","raw","G_6","E_1","E_1",45
"27","raw","G_6","E_1","E_1",48
"28","raw","G_6","E_1","E_1",43
"29","raw","G_6","E_1","E_1",43
"30","raw","G_6","E_1","E_1",40
"31","raw","G_6","E_1","E_1",44
"32","raw","G_6","E_1","E_1",41
"33","raw","G_6","E_1","E_1",44
"34","raw","G_6","E_1","E_1",39
"35","raw","G_6","E_1","E_1",43
"36","raw","G_6","E_1","E_1",42
"37","raw","G_6","E_1","E_1",41
"38","raw","G_6","E_1","E_1",41
"39","raw","G_6","E_1","E_1",42
"40","raw","G_6","E_2","E_1",41
"41","raw","G_6","E_2","E_1",44
"42","raw","G_6","E_2","E_1",43
"43","raw","G_6","E_2","E_1",44
"44","raw","G_5","E_1","E_1",44
"45","raw","G_5","E_1","E_1",44
"46","raw","G_5","E_1","E_1",50
"47","raw","G_5","E_1","E_1",43
"48","raw","G_5","E_1","E_1",44
"49","raw","G_5","E_1","E_1",44
"50","raw","G_5","E_1","E_1",41
"51","raw","G_5","E_1","E_1",40
"52","raw","G_5","E_1","E_1",43
"53","raw","G_5","E_1","E_1",41
"54","raw","G_5","E_1","E_1",45
"55","raw","G_5","E_1","E_1",45
"56","raw","G_5","E_1","E_1",46
"57","raw","G_5","E_1","E_1",40
"58","raw","G_5","E_1","E_1",41
"59","raw","G_5","E_2","E_1",58
"60","raw","G_5","E_2","E_1",53
"61","raw","G_2","E_1","E_2",38
"62","raw","G_2","E_1","E_2",38
"63","raw","G_2","E_1","E_2",36
"64","raw","G_2","E_1","E_2",44
"65","raw","G_2","E_1","E_2",36
"66","raw","G_2","E_1","E_2",37
"67","raw","G_2","E_1","E_2",41
"68","raw","G_2","E_1","E_2",39
"69","raw","G_2","E_1","E_2",37
"70","raw","G_2","E_1","E_2",38
"71","raw","G_2","E_1","E_2",37
"72","raw","G_2","E_1","E_2",40
"73","raw","G_2","E_2","E_2",40
"74","raw","G_2","E_2","E_2",40
"75","raw","G_2","E_2","E_2",38
"76","raw","G_2","E_2","E_2",43
"77","raw","G_2","E_2","E_2",38
"78","raw","G_2","E_1","E_2",37
"79","raw","G_2","E_1","E_2",36
"80","raw","G_2","E_1","E_2",39
"81","raw","G_2","E_1","E_2",37
"82","raw","G_2","E_1","E_2",38
"83","raw","G_2","E_1","E_2",36
"84","raw","G_2","E_1","E_2",36
"85","raw","G_2","E_1","E_2",37
"86","raw","G_2","E_1","E_2",35
"87","raw","G_2","E_1","E_2",38
"88","raw","G_2","E_1","E_2",36
"89","raw","G_2","E_2","E_2",42
"90","raw","G_2","E_2","E_2",40
"91","raw","G_2","E_2","E_2",43
"92","raw","G_2","E_2","E_2",42
"93","raw","G_2","E_2","E_2",41
"94","raw","G_3","E_1","E_2",39
"95","raw","G_3","E_1","E_2",41
"96","raw","G_3","E_1","E_2",41
"97","raw","G_3","E_1","E_2",42
"98","raw","G_3","E_1","E_2",39
"99","raw","G_3","E_1","E_2",44
"100","raw","G_3","E_1","E_2",40
"101","raw","G_3","E_1","E_2",42
