"","X","X1","row","replicate","delta_env","delta_gen","sample_size","n_pop","std_dev","interaction","gen","env","noise","int","gen_factor","exp_env_factor","phen","phen_corrected"
"1",1246481,1,11480,2,0.5,0.01,5,5,1,2.5,1,1,0.512692291079998,1.92530191958871,"G_1","E_1",2.9479942106687,0.345794508588061
"2",1246482,2,11480,2,0.5,0.01,5,5,1,2.5,1,1,0.591880455493419,1.92530191958871,"G_1","E_1",3.02718237508212,0.373442873315077
"3",1246483,3,11480,2,0.5,0.01,5,5,1,2.5,1,1,0.657792113543427,1.92530191958871,"G_1","E_1",3.09309403313213,0.396455776506202
"4",1246484,4,11480,2,0.5,0.01,5,5,1,2.5,1,1,-2.03838066318087,1.92530191958871,"G_1","E_1",0.396921256407839,-0.544906721918999
"5",1246485,5,11480,2,0.5,0.01,5,5,1,2.5,1,1,1.46932130782306,1.92530191958871,"G_1","E_1",3.90462322741177,0.679799320535385
"6",1246486,6,11480,2,0.5,0.01,5,5,1,2.5,1,2,0.102243038814391,3.50347375383013,"G_1","E_2",4.61571679264452,0.928075996629886
"7",1246487,7,11480,2,0.5,0.01,5,5,1,2.5,1,2,-0.848424685418398,3.50347375383013,"G_1","E_2",3.66504906841173,0.596152556195457
"8",1246488,8,11480,2,0.5,0.01,5,5,1,2.5,1,2,1.48988543843696,3.50347375383013,"G_1","E_2",6.00335919226709,1.41256813582302
"9",1246489,9,11480,2,0.5,0.01,5,5,1,2.5,1,2,-1.31432644056002,3.50347375383013,"G_1","E_2",3.19914731327011,0.433484034345883
"10",1246490,10,11480,2,0.5,0.01,5,5,1,2.5,1,2,0.53310675389305,3.50347375383013,"G_1","E_2",5.04658050772318,1.07851106770867
"11",1246491,11,11480,2,0.5,0.01,5,5,1,2.5,1,3,1.06217552186188,-3.58923906411915,"G_1","E_3",-1.01706354225727,-1.03859624890244
"12",1246492,12,11480,2,0.5,0.01,5,5,1,2.5,1,3,-0.0671230475345561,-3.58923906411915,"G_1","E_3",-2.14636211165371,-1.43288823639391
"13",1246493,13,11480,2,0.5,0.01,5,5,1,2.5,1,3,-1.22908659785359,-3.58923906411915,"G_1","E_3",-3.30832566197274,-1.83858512653768
"14",1246494,14,11480,2,0.5,0.01,5,5,1,2.5,1,3,-1.14693462504152,-3.58923906411915,"G_1","E_3",-3.22617368916067,-1.80990195495293
"15",1246495,15,11480,2,0.5,0.01,5,5,1,2.5,1,3,0.704136975370855,-3.58923906411915,"G_1","E_3",-1.37510208874829,-1.16360458055202
"16",1246496,16,11480,2,0.5,0.01,5,5,1,2.5,1,4,0.586652794109347,1.21756667014615,"G_1","E_4",3.81421946425549,0.648235055408719
"17",1246497,17,11480,2,0.5,0.01,5,5,1,2.5,1,4,-1.86510948863435,1.21756667014615,"G_1","E_4",1.3624571815118,-0.20779208348717
"18",1246498,18,11480,2,0.5,0.01,5,5,1,2.5,1,4,0.37333059733626,1.21756667014615,"G_1","E_4",3.60089726748241,0.573754103053787
"19",1246499,19,11480,2,0.5,0.01,5,5,1,2.5,1,4,-1.16901393369905,1.21756667014615,"G_1","E_4",2.0585527364471,0.0352480719485284
