"","X1","row","replicate","env_scenario","delta_env","delta_gen","sample_size","total_samples","n_env","n_pop","std_dev","interaction","Sim_time","true_cov","covariance","covariance_lwrCI","covariance_uprCI","covariance_pvalue","true_cov_means","cov_means","cov_means_lwrCI","cov_means_uprCI","cov_means_pvalue","GxE_Anova","true_GxE_emm","GxE_emm","GxE_emm_lwrCI","GxE_emm_uprCI","GxE_emm_pvalue","true_GxE_omega","GxE_omega","GxE_omega_lwrCI","GxE_omega_uprCI","GxE_omega_pvalue","true_GxE_eta","GxE_eta","GxE_eta_lwrCI","GxE_eta_uprCI","GxE_eta_pvalue","true_GxE_SSq","GxE_SSq","GxE_SSq_lwrCI","GxE_SSq_uprCI","true_GxE_means","GxE_means","GxE_means_lwrCI","GxE_means_uprCI","GxE_means_pvalue"
"1",1,1001,1,1,0.15910486294888,-0.0732276206836104,4,16,2,2,1,0.386708671692759,4.45700991153717,-0.53,-0.36,-0.7,-0.02,0.588,-0.53,-0.36,-0.79,0,0.999,0.089310780009017,0.53,0.42,0.06,0.82,0.28,0.37,0.05,-0.02,0.22,0.2,0.37,0.08,0,0.24,0.28,0.37,0.11,0,0.28,0.53,0.42,0.03,0.47,0.18
"2",1,1002,1,1,0.551762153627351,0.011242922861129,4,16,2,2,1,1.68103022361174,4.55330348412196,-0.33,-0.27,-0.87,0.44,0.684,-0.33,-0.27,-0.85,0.34,0.682,0.449930292073156,0.46,0.25,0.02,0.77,0.54,0.28,-0.02,-0.06,0.21,0.4,0.28,0.03,0,0.23,0.54,0.28,0.06,0,0.36,0.46,0.25,0.02,0.51,0.82
"3",1,1003,1,1,0.187757176812738,0.600038543809205,4,16,2,2,1,0.744127129204571,3.43292212883631,0.22,0.56,-0.18,0.97,0.342,0.22,0.56,-0.09,0.97,0.361,0.609155153314175,0.04,0.14,0.01,0.63,0.65,0,-0.04,-0.06,0.23,0.52,0,0.01,0,0.25,0.65,0,0.04,0,0.41,0.04,0.14,0.01,0.53,0.95
"4",1,1004,1,1,0.862110520713031,-0.549996254965663,4,16,2,2,1,1.2422470706515,4.54461985826492,0.23,0.59,0.12,0.96,0.317,0.23,0.59,0.07,0.96,0.999,0.0154772029792417,0.39,0.53,0.22,0.85,0.1,0.2,0.17,0.02,0.43,0.07,0.2,0.2,0.05,0.45,0.1,0.2,0.28,0.07,0.55,0.39,0.53,0.19,0.65,0.01
"5",1,1005,1,1,0.584214550675824,0.255846722517163,4,16,2,2,1,1.82260009413585,4.36209800640742,-0.02,-0.34,-0.95,0.7,0.568,-0.02,-0.34,-0.95,0.86,0.676,0.00172442092744844,0.68,0.86,0.48,1.24,0,0.61,0.48,0.27,0.74,0,0.61,0.53,0.31,0.76,0,0.61,0.87,0.5,0.98,0.68,0.86,0.57,0.86,0
"6",1,1006,1,1,0.00881841732189059,0.603945361915976,4,16,2,2,1,1.30832368507981,2.69287524620692,0.92,0.62,-0.91,0.94,0.315,0.92,0.62,-0.84,0.96,0.31,0.00159814546594642,0.71,0.76,0.45,1.06,0,0.67,0.51,0.39,0.73,0,0.67,0.56,0.44,0.75,0,0.67,0.94,0.71,1,0.71,0.76,0.65,0.86,0
"7",1,1007,1,1,0.896106274565682,-0.147884950041771,4,16,2,2,1,0.853097753599286,3.43160351912181,-0.82,-0.45,-0.88,0.11,0.45,-0.82,-0.45,-0.94,0.24,0.644,0.200702086387801,0.73,0.29,0.02,0.66,0.31,0.71,0.03,-0.04,0.36,0.23,0.71,0.07,0,0.4,0.31,0.71,0.13,0,0.65,0.73,0.29,0.02,0.73,0.51
"8",1,1008,1,1,0.567678457358852,0.414273181464523,4,16,2,2,1,0.637607954442501,4.51967271566391,-0.28,-0.33,-0.95,0.19,0.575,-0.28,-0.33,-0.93,0.15,0.654,0.704511831871536,0.12,0.12,0.01,0.62,0.76,0.02,-0.04,-0.05,0.16,0.53,0.02,0.01,0,0.2,0.76,0.02,0.01,0,0.34,0.12,0.12,0.01,0.48,0.99
"9",1,1009,1,1,0.521575526101515,-0.21814256021753,4,16,2,2,1,0.0838918061926961,4.56285729805628,-0.37,-0.07,-0.49,0.49,0.923,-0.37,-0.07,-0.46,0.66,0.999,0.4912556710778,0.09,0.16,0.01,0.51,0.58,0.01,-0.02,-0.04,0.3,0.41,0.01,0.02,0,0.32,0.58,0.01,0.04,0,0.4,0.09,0.16,0.01,0.61,0.86
"10",1,100,1,1,0.923837277106941,0.907583370804787,2,32,4,4,0.5,1.25527339749737,7.0288355310758,0.66,0.66,0.49,0.87,0.096,0.66,0.66,0.41,0.91,0.075,0.0824124284560838,0.38,0.39,0.3,0.55,0.82,0.25,0.09,0.07,0.29,0.27,0.25,0.17,0.12,0.31,0.85,0.25,0.19,0.13,0.32,0.38,0.39,0.28,0.48,0.01
"11",1,1010,1,1,0.7067206192296,0.644333636388183,4,16,2,2,1,1.03728603757918,4.10087810357412,-0.08,0,-0.61,0.77,0.999,-0.08,0,-0.49,0.58,0.999,0.0959676989878327,0.16,0.46,0.07,0.9,0.15,0.04,0.09,-0.02,0.36,0.12,0.04,0.14,0.01,0.4,0.15,0.04,0.27,0.01,0.71,0.16,0.46,0.14,0.7,0.07
"12",1,1011,1,1,0.305274059530348,-0.264977238606662,4,16,2,2,1,1.61900550033897,3.21713329553604,-0.07,-0.7,-0.92,0.88,0.228,-0.07,-0.7,-0.93,0.91,0.327,0.00652114124069891,0.6,0.95,0.48,1.46,0,0.48,0.4,0.17,0.7,0,0.48,0.46,0.23,0.73,0,0.48,0.95,0.48,1,0.6,0.95,0.6,0.86,0
"13",1,1012,1,1,0.482110350625589,-0.0516915894113481,4,16,2,2,1,1.82734087388963,4.36231426795324,-0.54,-0.4,-0.96,0.82,0.499,-0.54,-0.4,-0.96,0.82,0.671,0.783640525370241,0.28,0.06,0,0.42,0.77,0.11,-0.06,-0.07,0.23,0.75,0.11,0.01,0,0.28,0.77,0.11,0.03,0,0.84,0.28,0.06,0.02,0.78,1
"14",1,1013,1,1,0.867747184820473,-0.0283431229181588,4,16,2,2,1,1.03587439376861,4.54936989943186,0.19,-0.23,-0.52,0.12,0.7,0.19,-0.23,-0.74,0.22,0.999,0.00196159593462472,0.39,0.73,0.42,1.02,0.02,0.2,0.27,0.1,0.55,0.01,0.2,0.29,0.11,0.57,0.02,0.2,0.38,0.14,0.68,0.39,0.73,0.2,0.75,0
