"","X1","row","Variance_Component","SS","abs.SS.","omega2","Pvalue"
"1",1,1001,"V_g",2.6283,2.6283,0.0613,0
"2",2,1001,"V_e",20.3969,20.3969,0.4754,0
"3",3,1001,"V_gxe",2.7825,2.7825,0.0649,0
"4",4,1001,"V_cov",-7.3218,7.3218,0.1707,0
"5",5,1001,"V_error",9.7718,9.7718,0.2278,NA
"6",1,1002,"V_g",1.0742,1.0742,0.0266,0.002
"7",2,1002,"V_e",15.0735,15.0735,0.3738,0.002
"8",3,1002,"V_gxe",0.9748,0.9748,0.0242,0.002
"9",4,1002,"V_cov",-4.024,4.024,0.0998,0.002
"10",5,1002,"V_error",19.1775,19.1775,0.4756,NA
"11",1,1003,"V_g",1.9695,1.9695,0.0763,0.002
"12",2,1003,"V_e",6.2401,6.2401,0.2417,0.002
"13",3,1003,"V_gxe",0.3166,0.3166,0.0123,0.002
"14",4,1003,"V_cov",3.5057,3.5057,0.1358,0.002
"15",5,1003,"V_error",13.7828,13.7828,0.5339,NA
"16",1,1004,"V_g",3.0637,3.0637,0.1074,0
"17",2,1004,"V_e",8.8222,8.8222,0.3093,0
"18",3,1004,"V_gxe",4.5571,4.5571,0.1598,0
"19",4,1004,"V_cov",5.1989,5.1989,0.1823,0
"20",5,1004,"V_error",6.8794,6.8794,0.2412,NA
"21",1,1005,"V_g",1.6274,1.6274,0.0706,0
"22",2,1005,"V_e",0.1928,0.1928,0.0084,0
"23",3,1005,"V_gxe",11.842,11.842,0.5137,0
"24",4,1005,"V_cov",-0.5601,0.5601,0.0243,0
"25",5,1005,"V_error",8.8289,8.8289,0.383,NA
"26",1,1006,"V_g",0.392,0.392,0.0237,0
"27",2,1006,"V_e",0.1495,0.1495,0.009,0
"28",3,1006,"V_gxe",9.1235,9.1235,0.5507,0
"29",4,1006,"V_cov",0.2421,0.2421,0.0146,0
"30",5,1006,"V_error",6.6608,6.6608,0.402,NA
"31",1,1007,"V_g",7.6124,7.6124,0.3353,0.001
"32",2,1007,"V_e",1.5336,1.5336,0.0675,0.001
"33",3,1007,"V_gxe",1.3443,1.3443,0.0592,0.001
"34",4,1007,"V_cov",-3.4168,3.4168,0.1505,0.001
"35",5,1007,"V_error",8.7995,8.7995,0.3875,NA
"36",1,1008,"V_g",14.5437,14.5437,0.3656,0.001
"37",2,1008,"V_e",1.5982,1.5982,0.0402,0.001
"38",3,1008,"V_gxe",0.2336,0.2336,0.0059,0.001
"39",4,1008,"V_cov",-4.8212,4.8212,0.1212,0.001
"40",5,1008,"V_error",18.5809,18.5809,0.4671,NA
"41",1,1009,"V_g",0.0473,0.0473,0.0023,0
"42",2,1009,"V_e",10.1163,10.1163,0.4866,0
"43",3,1009,"V_gxe",0.4005,0.4005,0.0193,0
"44",4,1009,"V_cov",-0.6914,0.6914,0.0333,0
"45",5,1009,"V_error",9.5331,9.5331,0.4586,NA
"46",1,100,"V_g",19.3762,19.3762,0.3658,0
"47",2,100,"V_e",8.6457,8.6457,0.1632,0
"48",3,100,"V_gxe",6.7503,6.7503,0.1275,0
"49",4,100,"V_cov",12.7051,12.7051,0.2399,0
"50",5,100,"V_error",5.4858,5.4858,0.1036,NA
"51",1,1010,"V_g",1e-04,1e-04,0,0.999
"52",2,1010,"V_e",9.1577,9.1577,0.3637,0.002
"53",3,1010,"V_gxe",3.4209,3.4209,0.1358,0.002
"54",4,1010,"V_cov",0.0241,0.0241,0.001,0.002
"55",5,1010,"V_error",12.5795,12.5795,0.4995,NA
"56",1,1011,"V_g",0.4983,0.4983,0.0158,0
"57",2,1011,"V_e",0.2452,0.2452,0.0078,0
"58",3,1011,"V_gxe",14.4174,14.4174,0.4571,0
"59",4,1011,"V_cov",-0.3496,0.3496,0.0111,0
"60",5,1011,"V_error",16.0338,16.0338,0.5083,NA
"61",1,1012,"V_g",1.612,1.612,0.1341,0.06
"62",2,1012,"V_e",0.2576,0.2576,0.0214,0.062
"63",3,1012,"V_gxe",0.0621,0.0621,0.0052,0.061
"64",4,1012,"V_cov",-0.6444,0.6444,0.0536,0.06
"65",5,1012,"V_error",9.4437,9.4437,0.7857,NA
"66",1,1013,"V_g",0.7052,0.7052,0.0221,0
"67",2,1013,"V_e",13.2564,13.2564,0.415,0
"68",3,1013,"V_gxe",8.4189,8.4189,0.2635,0
"69",4,1013,"V_cov",-3.0576,3.0576,0.0957,0
"70",5,1013,"V_error",6.5067,6.5067,0.2037,NA
"71",1,1014,"V_g",10.7008,10.7008,0.1714,0
"72",2,1014,"V_e",22.8382,22.8382,0.3657,0
"73",3,1014,"V_gxe",0.7736,0.7736,0.0124,0
"74",4,1014,"V_cov",-15.6329,15.6329,0.2504,0
"75",5,1014,"V_error",12.4986,12.4986,0.2002,NA
"76",1,1015,"V_g",0.1236,0.1236,0.0111,0.207
"77",2,1015,"V_e",0.3401,0.3401,0.0305,0.203
"78",3,1015,"V_gxe",0.0957,0.0957,0.0086,0.209
"79",4,1015,"V_cov",-0.205,0.205,0.0184,0.203
"80",5,1015,"V_error",10.3757,10.3757,0.9314,NA
"81",1,1016,"V_g",5.5331,5.5331,0.1201,0
"82",2,1016,"V_e",10.7184,10.7184,0.2327,0
"83",3,1016,"V_gxe",5.7072,5.7072,0.1239,0
"84",4,1016,"V_cov",7.701,7.701,0.1672,0
"85",5,1016,"V_error",16.3994,16.3994,0.3561,NA
"86",1,1017,"V_g",0.4701,0.4701,0.0244,0.001
"87",2,1017,"V_e",8e-04,8e-04,0,0.999
"88",3,1017,"V_gxe",10.4476,10.4476,0.5429,0.001
"89",4,1017,"V_cov",-0.0196,0.0196,0.001,0.001
"90",5,1017,"V_error",8.307,8.307,0.4316,NA
"91",1,1018,"V_g",10.7113,10.7113,0.2711,0
"92",2,1018,"V_e",2.6195,2.6195,0.0663,0
"93",3,1018,"V_gxe",9.0777,9.0777,0.2298,0
"94",4,1018,"V_cov",5.297,5.297,0.1341,0
"95",5,1018,"V_error",11.804,11.804,0.2988,NA
"96",1,1019,"V_g",0.9929,0.9929,0.0385,0.001
"97",2,1019,"V_e",10.1333,10.1333,0.3925,0.001
"98",3,1019,"V_gxe",0.9858,0.9858,0.0382,0.001
"99",4,1019,"V_cov",-3.172,3.172,0.1229,0.001
"100",5,1019,"V_error",10.5333,10.5333,0.408,NA
"101",1,101,"V_g",6.3009,6.3009,0.0345,0
"102",2,101,"V_e",138.6348,138.6348,0.759,0
"103",3,101,"V_gxe",10.8976,10.8976,0.0597,0
"104",4,101,"V_cov",8.8824,8.8824,0.0486,0
"105",5,101,"V_error",17.9381,17.9381,0.0982,NA
"106",1,1020,"V_g",0.1648,0.1648,0.006,0.002
"107",2,1020,"V_e",10.7631,10.7631,0.393,0.002
"108",3,1020,"V_gxe",9e-04,9e-04,0,0.999
"109",4,1020,"V_cov",1.3316,1.3316,0.0486,0.002
"110",5,1020,"V_error",15.1265,15.1265,0.5523,NA
"111",1,1021,"V_g",18.4354,18.4354,0.5167,0
"112",2,1021,"V_e",0.1857,0.1857,0.0052,0
"113",3,1021,"V_gxe",2.9102,2.9102,0.0816,0
"114",4,1021,"V_cov",-1.8501,1.8501,0.0519,0
"115",5,1021,"V_error",12.2976,12.2976,0.3447,NA
"116",1,1022,"V_g",5.8007,5.8007,0.1794,0
"117",2,1022,"V_e",7.6571,7.6571,0.2369,0
"118",3,1022,"V_gxe",0.5764,0.5764,0.0178,0
"119",4,1022,"V_cov",6.6645,6.6645,0.2062,0
"120",5,1022,"V_error",11.6296,11.6296,0.3597,NA
"121",1,1023,"V_g",2.0718,2.0718,0.0622,0.006
"122",2,1023,"V_e",8.7908,8.7908,0.264,0.006
"123",3,1023,"V_gxe",4.7675,4.7675,0.1432,0.006
"124",4,1023,"V_cov",-4.2677,4.2677,0.1282,0.006
"125",5,1023,"V_error",13.3973,13.3973,0.4024,NA
"126",1,1024,"V_g",0.9121,0.9121,0.0486,0.003
"127",2,1024,"V_e",5.4245,5.4245,0.2889,0.003
"128",3,1024,"V_gxe",0.0483,0.0483,0.0026,0.003
"129",4,1024,"V_cov",-2.2243,2.2243,0.1185,0.003
"130",5,1024,"V_error",10.1655,10.1655,0.5414,NA
"131",1,1025,"V_g",11.6637,11.6637,0.3473,0
"132",2,1025,"V_e",3.1906,3.1906,0.095,0
"133",3,1025,"V_gxe",4.3943,4.3943,0.1309,0
"134",4,1025,"V_cov",6.1004,6.1004,0.1817,0
"135",5,1025,"V_error",8.2303,8.2303,0.2451,NA
"136",1,1026,"V_g",2.6568,2.6568,0.1398,0.007
