"","X1","G_means","gen_factor","exp_env_factor","E_means","data.type","row"
"1","1",-0.0770858491473037,"G_1","E_1",-1.6114596605127,"raw",1001
"2","2",-0.887686854343456,"G_2","E_2",0.646686957021938,"raw",1001
"3","G_1",-0.0770858491473034,"G_1","E_1",-1.6114596605127,"means",1001
"4","G_2",-0.887686854343456,"G_2","E_2",0.646686957021938,"means",1001
"5","11",0.320022357736711,"G_1","E_1",-0.60877558741114,"raw.ne",1001
"6","21",-0.320022357736711,"G_2","E_2",0.60877558741114,"raw.ne",1001
"7","G_11",0.320022357736711,"G_1","E_1",-0.60877558741114,"mean.ne",1001
"8","G_21",-0.320022357736711,"G_2","E_2",0.60877558741114,"mean.ne",1001
"9","1",0.658977761298003,"G_1","E_1",-0.57075251600663,"raw",1002
"10","2",0.140749438866159,"G_2","E_2",1.37047971617079,"raw",1002
"11","G_1",0.658977761298003,"G_1","E_1",-0.570752516006629,"means",1002
"12","G_2",0.140749438866159,"G_2","E_2",1.37047971617079,"means",1002
"13","11",0.227982556996241,"G_1","E_1",-0.70039157958698,"raw.ne",1002
"14","21",-0.227982556996241,"G_2","E_2",0.70039157958698,"raw.ne",1002
"15","G_11",0.227982556996241,"G_1","E_1",-0.70039157958698,"mean.ne",1002
"16","G_21",-0.227982556996241,"G_2","E_2",0.700391579586979,"mean.ne",1002
"17","1",-0.425790990962209,"G_1","E_1",-0.699452013107467,"raw",1003
"18","2",0.275896141305151,"G_2","E_2",0.54955716345041,"raw",1003
"19","G_1",-0.425790990962209,"G_1","E_1",-0.699452013107467,"means",1003
"20","G_2",0.275896141305151,"G_2","E_2",0.54955716345041,"means",1003
"21","11",-0.189081502156743,"G_1","E_1",-0.844290750044131,"raw.ne",1003
"22","21",0.189081502156743,"G_2","E_2",0.844290750044131,"raw.ne",1003
"23","G_11",-0.189081502156743,"G_1","E_1",-0.844290750044131,"mean.ne",1003
"24","G_21",0.189081502156743,"G_2","E_2",0.844290750044131,"mean.ne",1003
"25","1",0.225648383992198,"G_1","E_1",0.530622115874393,"raw",1004
"26","2",-0.649517443377922,"G_2","E_2",-0.954491175260117,"raw",1004
"27","G_1",0.225648383992197,"G_1","E_1",0.530622115874393,"means",1004
"28","G_2",-0.649517443377922,"G_2","E_2",-0.954491175260118,"means",1004
"29","11",0.170608603904971,"G_1","E_1",0.755934845049735,"raw.ne",1004
"30","21",-0.17060860390497,"G_2","E_2",-0.755934845049735,"raw.ne",1004
"31","G_11",0.17060860390497,"G_1","E_1",0.755934845049735,"mean.ne",1004
"32","G_21",-0.17060860390497,"G_2","E_2",-0.755934845049735,"mean.ne",1004
"33","1",0.176314366467954,"G_1","E_1",-0.252378521455834,"raw",1005
"34","2",-0.461531282955628,"G_2","E_2",-0.0328383950318408,"raw",1005
"35","G_1",0.176314366467954,"G_1","E_1",-0.252378521455834,"means",1005
"36","G_2",-0.461531282955628,"G_2","E_2",-0.0328383950318407,"means",1005
"37","11",-0.00911505478069952,"G_1","E_1",0.538094624918903,"raw.ne",1005
"38","21",0.00911505478069929,"G_2","E_2",-0.538094624918903,"raw.ne",1005
"39","G_11",-0.00911505478069941,"G_1","E_1",0.538094624918903,"mean.ne",1005
"40","G_21",0.00911505478069943,"G_2","E_2",-0.538094624918903,"mean.ne",1005
"41","1",-0.0978335309475806,"G_1","E_1",-0.157684014633128,"raw",1006
"42","2",-0.410887392819141,"G_2","E_2",-0.351036909133594,"raw",1006
"43","G_1",-0.0978335309475806,"G_1","E_1",-0.157684014633127,"means",1006
