"","X1","Fixed_effect","Df","Sum Sq","Mean Sq","F value","Pr(>F)","data_class","row"
"1",1,"exp_env_factor",1,20.3969045851325,20.3969045851325,25.047816004657,0.000306846230142318,"Raw_anova",1001
"2",2,"gen_factor",1,2.62829595850005,2.62829595850005,3.22760119308884,0.0976039216752953,"Raw_anova",1001
"3",3,"exp_env_factor:gen_factor",1,2.78247241903259,2.78247241903259,3.41693303996542,0.089310780009017,"Raw_anova",1001
"4",4,"Residuals",12,9.77182421717256,0.81431868476438,NA,NA,"Raw_anova",1001
"5",5,"exp_env_factor",1,5.92972345324447,5.92972345324447,2.88645791796202e+32,1.16468402340248e-189,"NoError_anova",1001
"6",6,"gen_factor",1,1.63862895122182,1.63862895122182,7.97648245849993e+31,2.6153572032682e-186,"NoError_anova",1001
"7",7,"exp_env_factor:gen_factor",1,4.43164759553372,4.43164759553372,2.15722780203967e+32,6.68380001383236e-189,"NoError_anova",1001
"8",8,"Residuals",12,2.46519032881566e-31,2.05432527401305e-32,NA,NA,"NoError_anova",1001
"9",1,"exp_env_factor",1,15.0735303169781,15.0735303169781,9.43203369611461,0.00969584665654399,"Raw_anova",1002
"10",2,"gen_factor",1,1.07424237668209,1.07424237668209,0.672190925522418,0.428273565858176,"Raw_anova",1002
"11",3,"exp_env_factor:gen_factor",1,0.97481602159657,0.97481602159657,0.609976387074697,0.449930292073156,"Raw_anova",1002
"12",4,"Residuals",12,19.1774509752069,1.59812091460058,NA,NA,"Raw_anova",1002
"13",5,"exp_env_factor",1,7.84877383610151,7.84877383610151,9.5515227498141e+32,8.8708209403283e-193,"NoError_anova",1002
"14",6,"gen_factor",1,0.831616740712706,0.831616740712706,1.01203148210333e+32,6.2695354663903e-187,"NoError_anova",1002
"15",7,"exp_env_factor:gen_factor",1,3.31960942318578,3.31960942318578,4.03978068271175e+32,1.54971833243809e-190,"NoError_anova",1002
"16",8,"Residuals",12,9.86076131526265e-32,8.21730109605221e-33,NA,NA,"NoError_anova",1002
"17",1,"exp_env_factor",1,6.24009569250314,6.24009569250314,5.43293608353607,0.0380106474939726,"Raw_anova",1003
"18",2,"gen_factor",1,1.96945932635837,1.96945932635837,1.71470874270149,0.214893132061151,"Raw_anova",1003
"19",3,"exp_env_factor:gen_factor",1,0.316558101466635,0.316558101466635,0.275611147127114,0.609155153314175,"Raw_anova",1003
"20",4,"Residuals",12,13.7828141466558,1.14856784555465,NA,NA,"Raw_anova",1003
"21",5,"exp_env_factor",1,11.4052299297613,11.4052299297613,1.26132778562656e+32,1.67275263400428e-187,"NoError_anova",1003
"22",6,"gen_factor",1,0.572029031325607,0.572029031325607,6.32618645866384e+30,1.05086655485037e-179,"NoError_anova",1003
"23",7,"exp_env_factor:gen_factor",1,0.0227410389130983,0.0227410389130983,2.51497816631094e+29,2.66191500884747e-171,"NoError_anova",1003
"24",8,"Residuals",12,1.08506893066777e-30,9.04224108889807e-32,NA,NA,"NoError_anova",1003
"25",1,"exp_env_factor",1,8.82224595001751,8.82224595001751,15.3889247086012,0.00202458333470518,"Raw_anova",1004
"26",2,"gen_factor",1,3.0636609015857,3.0636609015857,5.34404132624461,0.039353499447109,"Raw_anova",1004
"27",3,"exp_env_factor:gen_factor",1,4.55705003018762,4.55705003018762,7.94900756623624,0.0154772029792417,"Raw_anova",1004
"28",4,"Residuals",12,6.87942487242391,0.573285406035326,NA,NA,"Raw_anova",1004
"29",5,"exp_env_factor",1,9.14299983936587,9.14299983936587,1.11265240648884e+33,3.55011507000421e-193,"NoError_anova",1004
"30",6,"gen_factor",1,0.46571673162245,0.46571673162245,5.66751450602427e+31,2.03256132303015e-185,"NoError_anova",1004
"31",7,"exp_env_factor:gen_factor",1,2.39128342901169,2.39128342901169,2.91005939913839e+32,1.10914513101665e-189,"NoError_anova",1004
"32",8,"Residuals",12,9.86076131526264e-32,8.2173010960522e-33,NA,NA,"NoError_anova",1004
"33",1,"exp_env_factor",1,0.192791468441052,0.192791468441052,0.262036316809836,0.618013947256888,"Raw_anova",1005
"34",2,"gen_factor",1,1.62738828995437,1.62738828995437,2.21189680729823,0.162748012109117,"Raw_anova",1005
"35",3,"exp_env_factor:gen_factor",1,11.8419762826742,11.8419762826742,16.0952550128543,0.00172442092744844,"Raw_anova",1005
"36",4,"Residuals",12,8.82891978279317,0.735743315232764,NA,NA,"Raw_anova",1005
"37",5,"exp_env_factor",1,4.63273320586584,4.63273320586584,8.05397078278365e+31,2.46796616163936e-186,"NoError_anova",1005
"38",6,"gen_factor",1,0.00132934757848243,0.00132934757848243,2.31106046506312e+28,4.42111335576388e-165,"NoError_anova",1005
"39",7,"exp_env_factor:gen_factor",1,7.36593744655568,7.36593744655568,1.28056251776501e+32,1.52754771408323e-187,"NoError_anova",1005
"40",8,"Residuals",12,6.90253292068385e-31,5.75211076723654e-32,NA,NA,"NoError_anova",1005
"41",1,"exp_env_factor",1,0.149541367246834,0.149541367246834,0.269413401511597,0.613164120213243,"Raw_anova",1006
"42",2,"gen_factor",1,0.392010881730791,0.392010881730791,0.706245950676159,0.417123384544573,"Raw_anova",1006
"43",3,"exp_env_factor:gen_factor",1,9.12346483465427,9.12346483465427,16.4368143740353,0.00159814546594642,"Raw_anova",1006
"44",4,"Residuals",12,6.66075405638186,0.555062838031822,NA,NA,"Raw_anova",1006
"45",5,"exp_env_factor",1,2.1342187448292,2.1342187448292,8.65741975328342e+31,1.59981089939577e-186,"NoError_anova",1006
"46",6,"gen_factor",1,1.81677583713714,1.81677583713714,7.36971833736651e+31,4.20430447534971e-186,"NoError_anova",1006
"47",7,"exp_env_factor:gen_factor",1,8.04900541803366,8.04900541803366,3.2650644958114e+32,5.5596687007855e-190,"NoError_anova",1006
"48",8,"Residuals",12,2.9582283945788e-31,2.46519032881566e-32,NA,NA,"NoError_anova",1006
"49",1,"exp_env_factor",1,1.53364861219329,1.53364861219329,2.09145816133211,0.173733997102746,"Raw_anova",1007
"50",2,"gen_factor",1,7.61242803480093,7.61242803480093,10.3811750712367,0.00732747296915277,"Raw_anova",1007
"51",3,"exp_env_factor:gen_factor",1,1.34425674721224,1.34425674721224,1.83318181396331,0.200702086387801,"Raw_anova",1007
"52",4,"Residuals",12,8.79949868784253,0.73329155732021,NA,NA,"Raw_anova",1007
"53",5,"exp_env_factor",1,1.40050264031923,1.40050264031923,2.43476298873859e+31,3.23339938572377e-183,"NoError_anova",1007
"54",6,"gen_factor",1,2.06349166569388,2.06349166569388,3.58736427234211e+31,3.16043329352435e-184,"NoError_anova",1007
"55",7,"exp_env_factor:gen_factor",1,8.53600569398689,8.53600569398689,1.48397797598181e+32,6.3071733318471e-188,"NoError_anova",1007
"56",8,"Residuals",12,6.90253292068386e-31,5.75211076723655e-32,NA,NA,"NoError_anova",1007
"57",1,"exp_env_factor",1,1.59823347447137,1.59823347447137,1.03218041902647,0.329694087129975,"Raw_anova",1008
"58",2,"gen_factor",1,14.5437106072695,14.5437106072695,9.39270359968923,0.00981202088203026,"Raw_anova",1008
"59",3,"exp_env_factor:gen_factor",1,0.233602364215372,0.233602364215372,0.150866434743615,0.704511831871536,"Raw_anova",1008
"60",4,"Residuals",12,18.5808617758371,1.54840514798643,NA,NA,"Raw_anova",1008
