"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",0.714139390591685,"G_1","E_1",-0.915243151968171,"raw"
"2",0.251393852887596,"G_2","E_2",-0.386968343357862,"raw"
"3",-0.0555781579631659,"G_3","E_3",0.234814135679,"raw"
"4",-0.118765274638968,"G_4","E_4",0.217723240573746,"raw"
"5",-0.791189810877149,"G_5","E_5",0.849674119073286,"raw"
"G_1",0.724132078242953,"G_1","E_1",-0.928049809972298,"means"
"G_2",0.254911513840696,"G_2","E_2",-0.392383047877799,"means"
"G_3",-0.0563558425161743,"G_3","E_3",0.238099802797852,"means"
"G_4",-0.120427113082441,"G_4","E_4",0.220769761135611,"means"
"G_5",-0.802260636485034,"G_5","E_5",0.861563293916633,"means"
"11",0.710261220179426,"G_1","E_1",-0.970733422920052,"raw.ne"
"21",0.27487169487639,"G_2","E_2",-0.391535997724065,"raw.ne"
"31",-0.101086123240314,"G_3","E_3",0.202795417497005,"raw.ne"
"41",-0.0956216016138948,"G_4","E_4",0.24184739892719,"raw.ne"
"51",-0.788425190201606,"G_5","E_5",0.917626604219923,"raw.ne"
"G_11",0.697307040902574,"G_1","E_1",-0.953028592030711,"mean.ne"
"G_21",0.26985841650444,"G_2","E_2",-0.384394924322116,"mean.ne"
"G_31",-0.0992424525940029,"G_3","E_3",0.199096710429602,"mean.ne"
"G_41",-0.0938775962608607,"G_4","E_4",0.237436437897176,"mean.ne"
"G_51",-0.77404540855215,"G_5","E_5",0.900890368026049,"mean.ne"
