"","row","n_pop","sample_size","std_dev","n_env","delta_env","delta_gen","interaction","replicate","env_scenario","seed","total_samples"
"1",1,2,2,0.5,2,0.399596248287708,-0.779403053224087,1.80602923082188,1,1,30160414,8
"2",2,2,2,0.5,2,0.33506132569164,-0.661191780585796,1.47091616783291,1,1,96618352,8
"3",3,2,2,0.5,2,0.00771895796060562,0.495094476267695,0.540854340884835,1,1,36746812,8
"4",4,2,2,0.5,2,0.634119943715632,-0.153674541506916,1.4355827011168,1,1,99450838,8
"5",5,2,2,0.5,2,0.840540994890034,-0.971099825575948,1.14450199855492,1,1,86136660,8
"6",6,2,2,0.5,2,0.351373204495758,-0.361075369175524,0.877532552927732,1,1,3939303,8
"7",7,2,2,0.5,2,0.476677826838568,0.308011087588966,1.14706110488623,1,1,49354851,8
"8",8,2,2,0.5,2,0.643690545344725,0.741662573534995,0.81574247404933,1,1,86427532,8
"9",9,2,2,0.5,2,0.17458239919506,-0.355663956142962,1.75304067414254,1,1,23163418,8
"10",10,2,2,0.5,2,0.699758435133845,-0.197253275662661,1.42903156671673,1,1,73272474,8
"11",11,2,2,0.5,2,0.013187154661864,-0.0403135749511421,1.733859768603,1,1,42889688,8
"12",12,2,2,0.5,2,0.631559131201357,-0.662424778565764,0.94506483245641,1,1,77564953,8
"13",13,2,2,0.5,2,0.5739623287227,-0.112988611217588,1.28229779191315,1,1,15878755,8
"14",14,2,2,0.5,2,0.695554440375417,-0.272113368846476,0.234004555735737,1,1,26083393,8
"15",15,2,2,0.5,2,0.625326201552525,-0.261120167095214,0.141132995486259,1,1,73325042,8
"16",16,2,2,0.5,2,0.0620422412175685,0.182673105038702,0.016670152079314,1,1,52350045,8
"17",17,2,2,0.5,2,0.739379095146433,-0.654043488670141,1.98156196717173,1,1,87200590,8
"18",18,2,2,0.5,2,0.268535623326898,-0.604951408226043,1.96862075803801,1,1,67111622,8
"19",19,2,2,0.5,2,0.740767425857484,-0.00135629996657372,0.958742073271424,1,1,81588558,8
"20",20,2,2,0.5,2,0.867565230932087,-0.132800419349223,0.132752376608551,1,1,67938914,8
"21",21,2,2,0.5,2,0.488563903840259,-0.208842621184886,0.48944665491581,1,1,63918076,8
"22",22,2,2,0.5,2,0.0428335110191256,0.649933833163232,1.82236311025918,1,1,29135729,8
"23",23,2,2,0.5,2,0.927884575678036,-0.716581123415381,1.99061287986115,1,1,93298244,8
