"","X.1","X","X1","row","replicate","env_scenario","delta_env","delta_gen","sample_size","total_samples","n_env","n_pop","std_dev","interaction","Sim_time","pop_cov","true_cov","cov_R","covariance","covariance_lwrCI","covariance_uprCI","covariance_pvalue","true_cov_means","cov_means_R","cov_means","cov_means_lwrCI","cov_means_uprCI","cov_means_pvalue","true_cor","cor","cor_lwrCI","cor_uprCI","cor_pvalue","GxE_Anova","true_GxE_emm","GxE_emm","GxE_emm_lwrCI","GxE_emm_uprCI","GxE_emm_pvalue","true_GxE_omega","GxE_omega","GxE_omega_lwrCI","GxE_omega_uprCI","GxE_omega_pvalue","true_GxE_means","GxE_means","GxE_means_lwrCI","GxE_means_uprCI","GxE_means_pvalue","sig","meancoverror","coverror","meangxeerror","gxeerror"
"1",1,1,1,10001,6,1,0.526379358023405,0.128074504435062,4,16,2,2,1,0.375853440724313,2.55044804016749,0.216,0.433,0.356,0.356,-0.374733333333333,6.01016666666665,0.518,0.433,0.356,0.356,-0.615733333333333,0.943,0.667,1,1,-1,1,0.818,0.002,0.27,0.804,0.415,1.15,0.034,0.097,0.413,0.166,0.716,0.008,0.27,0.804,0.391,1.19,0,TRUE,1.55873333333333,6.38489999999998,0.799,0.735
"2",2,2,1,10002,6,1,0.118078641593456,-0.0380794112570584,4,16,2,2,1,1.96191500034183,3.05727444092433,0.265,0.53,0.61,0.61,-0.0927333333333333,3.09593333333333,0.316,0.53,0.61,0.61,-0.0856833333333333,0.971,0.651,1,1,-1,1,0.94,0.02,0.451,0.702,0.238,1.127,0.017,0.272,0.221,0.003,0.544,0.032,0.451,0.702,0.236,1.155,0.042,TRUE,1.05668333333333,3.18866666666666,0.919,0.889
"3",4,4,1,10004,6,1,0.436018275329843,0.592435314785689,4,16,2,2,1,0.273911104537547,2.54738877614339,0.403,0.806,0.411,0.411,-0.471566666666667,3.09856666666667,0.515,0.806,0.411,0.411,-0.292616666666667,0.952366666666666,0.674,1,1,-1,1,0.817,0.543,0.189,0.122,0.008,0.447,0.996,0.048,-0.025,-0.043,0.153,0.448,0.189,0.122,0.009,0.49,0.995,FALSE,1.24498333333333,3.57013333333334,0.481,0.439
"4",7,7,1,10007,6,1,0.354491998441517,0.0450979797169566,4,16,2,2,1,0.438703484833241,2.47801434199015,-0.312,-0.624,0.37,0.37,-10.8025,9.69513333333331,0.54,-0.624,0.37,0.37,-0.749183333333333,0.946733333333333,0.657,-1,1,-1,1,0.849,0.01,0.841,0.78,0.331,1.204,0.231,0.943,0.334,0.052,0.669,0.016,0.841,0.78,0.32,1.221,0.069,FALSE,1.69591666666667,20.4976333333333,0.901,0.873
"5",11,11,1,10011,6,1,0.29540965356864,0.358008171897382,4,16,2,2,1,0.777935647871345,2.61364516019821,-0.026,-0.052,0.37,0.37,-9.69541666666667,13.0745,0.567,-0.052,0.37,0.37,-0.816,0.939683333333333,0.999,-1,1,-1,1,0.84,0.244,0.199,0.372,0.027,0.907,0.788,0.053,0.03,-0.065,0.511,0.266,0.199,0.372,0.025,0.89,0.763,FALSE,1.75568333333333,22.7699166666667,0.865,0.88
"6",14,14,1,10014,6,1,0.815674296580255,0.765115075279027,4,16,2,2,1,1.19694743072614,2.60195128122965,0.201,0.402,0.749,0.749,-0.204516666666667,4.96833333333333,0.171,0.402,0.749,0.749,-0.135466666666667,0.984,0.315,1,1,-1,1,0.823,0.034,0.435,0.651,0.174,1.087,0.062,0.252,0.203,-0.019,0.753,0.055,0.435,0.651,0.259,1.034,0.023,FALSE,1.11946666666667,5.17285,0.775,0.913
"7",18,18,1,10018,6,1,0.115476375911385,0.603637900203466,4,16,2,2,1,1.65234508831054,2.38908633788427,-0.054,-0.108,-0.406,-0.406,-6.10726666666667,0.762783333333327,0.491,-0.108,-0.406,-0.406,-0.953683333333333,0.366033333333332,0.999,-1,-1,-1,1,0.818,0.094,0.742,0.512,0.071,0.983,0.011,0.733,0.108,-0.042,0.462,0.117,0.742,0.512,0.07,0.946,0.125,TRUE,1.31971666666667,6.87005,0.876,0.912
"8",20,20,1,1001,1,1,0.22815865278244,0.826445664744824,4,16,2,2,1,1.37644315930083,2.64231984615326,-0.172,-0.344,-0.208,-0.208,-5.92518333333333,6.23741666666664,0.742,-0.344,-0.208,-0.208,-0.917683333333333,0.685,0.675,-1,-1,-1,1,0.813,0.003,0.805,0.845,0.496,1.201,0.001,0.863,0.413,0.21,0.675,0.005,0.805,0.845,0.455,1.24,0,TRUE,1.60268333333333,12.1626,0.785,0.705
"9",23,23,1,10022,6,1,0.272604856872931,-0.697748246602714,4,16,2,2,1,1.6032387688756,2.58477545976639,0.487,0.974,0.802,0.802,-1.36151666666667,9.63039999999998,0.119,0.974,0.802,0.802,-0.0487333333333333,0.979366666666666,0.999,1,1,-1,1,0.941,0.132,0.663,0.423,0.034,0.849,0.645,0.586,0.076,-0.046,0.625,0.172,0.663,0.423,0.054,0.771,0.581,FALSE,1.0281,10.9919166666667,0.717,0.815
"10",24,24,1,10023,6,1,0.24908990226686,-0.169224816840142,4,16,2,2,1,0.999025600962341,2.57513138453166,-0.194,-0.388,-0.151,-0.151,-3.01056666666667,0.709366666666667,0.805,-0.388,-0.151,-0.151,-0.831733333333333,0.397683333333333,0.669,-1,-1,-1,1,0.848,0.004,0.721,0.863,0.474,1.246,0,0.693,0.346,0.128,0.642,0.013,0.721,0.863,0.454,1.23,0.001,TRUE,1.22941666666667,3.71993333333334,0.776,0.772
"11",25,25,1,10024,6,1,0.366966600064188,-0.227554543875158,4,16,2,2,1,0.437454957515001,2.51122730970383,-0.357,-0.713,-0.58,-0.58,-4.55665,0.547666666666666,0.312,-0.713,-0.58,-0.58,-0.973683333333333,0.093,0.335,-1,-1,-1,1,0.943,0.985,0.139,0.005,0.007,0.517,0.999,0.026,-0.049,-0.057,0.187,0.637,0.139,0.005,0.007,0.458,0.999,FALSE,1.06668333333333,5.10431666666667,0.451,0.51
"12",29,29,1,10028,6,1,0.368694526609033,-0.550290578976274,4,16,2,2,1,1.4853069758974,2.53127962350845,0.171,0.342,0.91,0.91,0.162266666666667,4.08345,0.069,0.342,0.91,0.91,0.180266666666667,0.986683333333333,0.319,1,1,1,1,0.833,0.56,0.213,0.163,0.01,0.619,0.799,0.061,-0.028,-0.058,0.203,0.467,0.213,0.163,0.009,0.592,0.917,TRUE,0.806416666666666,3.92118333333333,0.583,0.609
"13",34,34,1,10032,6,1,0.177061384543777,0.569615263026208,4,16,2,2,1,1.56292435340583,2.62583719889323,0.483,0.967,0.855,0.855,-9.62881666666667,10.3409833333333,0.111,0.967,0.855,0.855,-0.553933333333333,0.969683333333333,0.303,1,1,-1,1,0.824,0.001,0.706,1.052,0.619,1.458,0,0.664,0.489,0.246,0.798,0.004,0.706,1.052,0.679,1.47,0,TRUE,1.52361666666667,19.9698,0.791,0.839
"14",35,35,1,10033,6,1,0.0716423648409545,-0.298937367275357,4,16,2,2,1,1.52140264352784,2.7189796368281,0.314,0.628,0.767,0.767,-9.0094,24.8815166666666,0.181,0.628,0.767,0.767,-0.245616666666667,0.979683333333333,0.334,1,1,-1,1,0.823,0,0.853,1.091,0.851,1.327,0,0.969,0.746,0.606,0.913,0,0.853,1.091,0.845,1.319,0,TRUE,1.2253,33.8909166666666,0.474,0.476
