"","row","n_pop","sample_size","std_dev","n_env","delta_env","delta_gen","interaction","replicate","env_scenario","seed","total_samples"
"1",1,2,4,0.5,2,0.156904528615996,-0.413665485102683,0.863193892366253,1,1,84576364,16
"2",2,2,4,0.5,2,0.752351163187996,-0.254460370633751,1.62646651719697,1,1,50181731,16
"3",3,2,4,0.5,2,0.363124907715246,0.573141425382346,2,1,1,1861817,16
"4",4,2,4,0.5,2,0.934994410956278,-0.0433814032003284,1.17130026475992,1,1,49059027,16
"5",5,2,4,0.5,2,0.0480714226141572,-0.413902269210666,1.25930015122751,1,1,78826142,16
"6",6,2,4,0.5,2,0.253065739991143,0.952028657309711,2,1,1,30451682,16
"7",7,2,4,0.5,2,0.524552487535402,-0.297323988284916,2,1,1,86334638,16
"8",8,2,4,0.5,2,0.0427984660491347,0.749379195738584,2,1,1,34561197,16
"9",9,2,4,0.5,2,0.93355935299769,-0.677239983808249,2,1,1,27924182,16
"10",10,2,4,0.5,2,0.323572430759668,0.932566896080971,1.71812693437329,1,1,13702088,16
"11",11,2,4,0.5,2,0.548211076064035,0.240105437580496,1.22403818684164,1,1,37201987,16
"12",12,2,4,0.5,2,0.42346911993809,0.761553447693586,1.95735100890975,1,1,74400156,16
"13",13,2,4,0.5,2,0.247126695234329,0.342910561710596,0.990838768042158,1,1,88190928,16
"14",14,2,4,0.5,2,0.70097881834954,0.324492331128567,0.665919756104704,1,1,60496664,16
"15",15,2,4,0.5,2,0.0691984312143177,-0.027966205496341,1.72342129254248,1,1,92095586,16
"16",16,2,4,0.5,2,0.00971313402988017,-0.374715729150921,2,1,1,18748963,16
"17",17,2,4,0.5,2,0.574899108381942,0.737175471615046,2,1,1,22687128,16
"18",18,2,4,0.5,2,0.719588398234919,0.0283481157384813,0.356919093141332,1,1,22389047,16
"19",19,2,4,0.5,2,0.667693494819105,0.532021201215684,1.06964783740463,1,1,65699052,16
"20",20,2,4,0.5,2,0.752905656117946,0.539231798611581,2,1,1,28323406,16
"21",21,2,4,0.5,2,0.111924384720623,0.306434634607285,0.46809250358725,1,1,98152059,16
"22",22,2,4,0.5,2,0.663824422517791,0.521823159884661,0.636145415341016,1,1,22568562,16
"23",23,2,4,0.5,2,0.197976805735379,0.382087416015565,1.3196414879919,1,1,73391556,16
"24",24,2,4,0.5,2,0.663278474239632,-0.401520989369601,1.2706573493313,1,1,36710687,16
"25",25,2,4,0.5,2,0.486489314818755,0.9463577773422,2,1,1,75285290,16
"26",26,2,4,0.5,2,0.931395936524495,0.045632163528353,0.203034533739556,1,1,91423514,16
"27",27,2,4,0.5,2,0.504023077199236,0.764498154632747,0.338588192039169,1,1,21130825,16
"28",28,2,4,0.5,2,0.23444532067515,-0.738230933900923,0.60082678347826,1,1,3307969,16
"29",29,2,4,0.5,2,0.0469387497287244,0.00543853268027306,1.29055872313213,1,1,63213626,16
"30",30,2,4,0.5,2,0.288511988939717,-0.5581040144898,1.0277601326257,1,1,37664691,16
"31",31,2,4,0.5,2,0.45414341147989,0.333170236088336,0.427259912719019,1,1,88027862,16
"32",32,2,4,0.5,2,0.597605724120513,0.823300512041897,2,1,1,43425156,16
"33",33,2,4,0.5,2,0.441011558519676,0.997722919099033,1.91303656335687,1,1,45119569,16
"34",34,2,4,0.5,2,0.35448669991456,-0.707991919014603,2,1,1,75878428,16
"35",35,2,4,0.5,2,0.292281412286684,-0.667008243501186,0.835477381560486,1,1,96444630,16
