"","row","n_pop","sample_size","std_dev","n_env","delta_env","delta_gen","interaction","errpop","replicate","env_scenario","seed","total_samples"
"1",1,2,2,0.5,2,0.467956634005532,-0.0461503649130464,1.79677297174931,0,1,1,78728955,8
"2",2,2,2,0.5,2,0.811203942401335,-0.737648227252066,1.16620146343485,0,1,1,13254760,8
"3",3,2,2,0.5,2,0.876054697437212,0.911090613342822,0.252712509594858,0,1,1,98725227,8
"4",4,2,2,0.5,2,0.159177662804723,-0.23045625211671,1.64131042966619,0,1,1,56714829,8
"5",5,2,2,0.5,2,0.36777734849602,0.419590497389436,0.498446730896831,0,1,1,82821895,8
"6",6,2,2,0.5,2,0.0118213326204568,-0.436566224787384,1.0721226548776,0,1,1,19363798,8
"7",7,2,2,0.5,2,0.758380498504266,-0.798701915889978,0.121866077184677,0,1,1,20315472,8
"8",8,2,2,0.5,2,0.778201837092638,-0.105546104721725,1.70045353611931,0,1,1,52483397,8
"9",9,2,2,0.5,2,0.992871539900079,-0.372933546081185,0.21118470095098,0,1,1,15187376,8
"10",10,2,2,0.5,2,0.31978753907606,0.694832568988204,0.304840869735926,0,1,1,55415573,8
"11",11,2,2,0.5,2,0.0901509523391724,-0.62174954963848,0.332954714540392,0,1,1,54485072,8
"12",12,2,2,0.5,2,0.195074719842523,0.150439790915698,1.64948417060077,0,1,1,28571550,8
"13",13,2,2,0.5,2,0.513481402304024,-0.0558447535149753,0.328386953566223,0,1,1,88080911,8
"14",14,2,2,0.5,2,0.0614888498093933,0.603474157396704,0.352968744002283,0,1,1,62892313,8
"15",15,2,2,0.5,2,0.654596479842439,-0.838506844826043,1.78054126352072,0,1,1,18227923,8
"16",16,2,2,0.5,2,0.54759031557478,0.522353866603225,0.685995249543339,0,1,1,92601656,8
"17",17,2,2,0.5,2,0.550157313467935,0.904191861860454,0.864700953476131,0,1,1,14909365,8
"18",18,2,2,0.5,2,0.95488556381315,-0.819740218110383,1.72942120255902,0,1,1,59811185,8
"19",19,2,2,0.5,2,0.615999645087868,-0.241801882628351,0.56620632391423,0,1,1,5331561,8
"20",20,2,2,0.5,2,0.235751961125061,-0.119203414767981,1.09037476079538,0,1,1,89586529,8
"21",21,2,2,0.5,2,0.0675552159082144,0.765791830606759,1.40723483124748,0,1,1,59019041,8
"22",22,2,2,0.5,2,0.0117286418098956,0.0238574584946036,1.26162722334266,0,1,1,5652625,8
"23",23,2,2,0.5,2,0.837034651078284,0.186607658863068,0.267514827661216,0,1,1,91101439,8
"24",24,2,2,0.5,2,0.395542013458908,0.546656619291753,0.81032278528437,0,1,1,62956223,8
"25",25,2,2,0.5,2,0.613909284118563,0.249591007828712,0.363981085363775,0,1,1,47362452,8
"26",26,2,2,0.5,2,0.380065474892035,0.532410957850516,0.35651416098699,0,1,1,20177969,8
"27",27,2,2,0.5,2,0.667383688967675,0.974349546246231,0.510943742003292,0,1,1,13103771,8
"28",28,2,2,0.5,2,0.416588136460632,0.350395616143942,1.41824583010748,0,1,1,81238097,8
"29",29,2,2,0.5,2,0.135356808779761,0.589700425043702,1.14489581575617,0,1,1,39464988,8
"30",30,2,2,0.5,2,0.752417591866106,0.261455052532256,0.501367782242596,0,1,1,57504328,8
"31",31,2,2,0.5,2,0.868933042744175,0.242502186447382,0.636900798883289,0,1,1,95884725,8
"32",32,2,2,0.5,2,0.222795713460073,0.795964141841978,1.17331095039845,0,1,1,63632054,8
"33",33,2,2,0.5,2,0.563635697588325,0.203908144962043,0.130982078146189,0,1,1,7500408,8
"34",34,2,2,0.5,2,0.0766182383522391,0.336564466357231,1.54848379874602,0,1,1,20134903,8
"35",35,2,2,0.5,2,0.442272656597197,-0.108234857674688,0.156949553638697,0,1,1,79630467,8
"36",36,2,2,0.5,2,0.10502780135721,0.777468218933791,1.95513314055279,0,1,1,72959211,8
"37",37,2,2,0.5,2,0.00204754550941288,-0.152562123723328,1.29218014050275,0,1,1,50071626,8
"38",38,2,2,0.5,2,0.551195280393586,0.758595371618867,1.372479243204,0,1,1,42412586,8
"39",39,2,2,0.5,2,0.974430976435542,-0.545496296603233,1.16650378005579,0,1,1,90924487,8
"40",40,2,2,0.5,2,0.129265333991498,0.880065753124654,0.680125536397099,0,1,1,21311294,8
"41",41,2,2,0.5,2,0.412919186288491,0.916586038656533,1.33903438411653,0,1,1,24847051,8
"42",42,2,2,0.5,2,0.857234774855897,0.00980852590873837,1.76184480218217,0,1,1,98660556,8
"43",43,2,2,0.5,2,0.0324704030063003,-0.513502864632756,0.632183061446995,0,1,1,50123308,8
"44",44,2,2,0.5,2,0.260049535660073,0.617365902755409,1.11512430896983,0,1,1,80951939,8
"45",45,2,2,0.5,2,0.990012271562591,-0.0774007556028664,1.22324917605147,0,1,1,68749100,8
"46",46,2,2,0.5,2,0.648282831534743,-0.467903383541852,0.866287765558809,0,1,1,52702042,8
