"samplesize","GE_Diff","covGE_true","covGE_data","lwrCI","uprCI"
1,1,0.5,0.872287107530831,-0.921888684899675,2.91743329251063
1,2,2,1.97606570450735,-0.583609550898955,5.79262931071114
1,3,4.5,2.46814089997739,-1.29761298395472,9.00402454002478
1,4,8,4.83973831701111,-5.59579290730187,15.3972957652916
1,5,12.5,11.8886977893238,-8.44421344832196,39.9847736767817
2,1,0.5,1.70924812661212,-0.977381201213954,4.95806090467809
2,2,2,2.79473231661014,-0.321135520036069,8.11782253303702
2,3,4.5,3.8363713766564,-0.556136756152466,9.67707486711212
2,4,8,4.9269830971314,0.238783633972117,11.2041611444903
2,5,12.5,13.342084783956,1.56154814773327,29.8185232614163
3,1,0.5,0.195428477569433,-1.05624845978972,1.41524878459967
3,2,2,3.00344671800598,0.539918286655686,6.1981666375987
3,3,4.5,2.87704482592053,0.620431737061767,6.02866750097679
3,4,8,7.02146952688845,1.40193130460338,14.7293633465312
3,5,12.5,9.82461708841627,2.23243514870299,20.3301843471443
4,1,0.5,0.23714840343405,-0.156720736276636,0.921367023210154
4,2,2,2.13416655192019,0.151141369715926,4.91851276562371
4,3,4.5,4.61716769521365,1.57498571897961,8.44471514796884
4,4,8,10.393235387769,3.20839397905268,19.3778656054375
4,5,12.5,11.5779530818047,4.10183280594133,20.9599340534811
5,1,0.5,1.34179281064452,-0.142609681393855,3.11254780140968
5,2,2,1.88620691416821,0.437100522709709,3.84868937854819
5,3,4.5,5.73555419931496,2.16663987357755,10.2241253959937
5,4,8,8.46642161766658,2.94957811462716,15.4494033396192
5,5,12.5,11.725990729465,4.33375168680139,20.9099804538039
6,1,0.5,0.279393685840174,-0.175424926125266,0.881247099730814
6,2,2,2.23750045954504,0.628494060270352,4.16572002123351
6,3,4.5,3.56125768152419,1.29237496552395,6.39835542492172
6,4,8,7.02802058141936,2.99843493041471,12.4600660711145
6,5,12.5,11.1654607154806,4.68698626668155,18.9282650736671
7,1,0.5,0.385132795857168,-0.0955361895515663,1.03311401341146
7,2,2,1.33928108854143,0.151038210951333,2.86188973789344
7,3,4.5,6.2898778340333,2.90250711676743,10.1418331999231
7,4,8,7.84205179600475,3.69347857336723,12.8818028840432
7,5,12.5,15.4301671152148,7.52242832970688,23.7882061233814
8,1,0.5,1.01333226360425,0.32248599252349,1.92016941167879
8,2,2,2.70738567171984,0.911503276250227,4.98258105944951
8,3,4.5,4.40388905931532,1.76879434385608,7.49234132291317
8,4,8,9.06559145022842,4.17317642743532,14.6557568802672
8,5,12.5,11.8191611181243,6.23602700966592,17.9038428599676
9,1,0.5,0.286309847270353,-0.0526469647265472,0.675194072154475
